"Date","Open","High","Low","Close","Adj Close","Volume"
"2011-06-17","251.454529","251.707886","240.833603","240.942902","240.942902",10558900
"2011-06-20","240.932968","241.543991","238.066605","240.724319","240.724319",6096500
"2011-06-21","242.020889","245.374084","240.798828","244.907120","244.907120",5566600
"2011-06-22","244.137131","244.584213","241.792374","241.931473","241.931473",4845500
"2011-06-23","239.507233","239.869873","235.334381","238.558411","238.558411",9665800
"2011-06-24","238.786926","238.821701","234.981674","235.905655","235.905655",7660700
"2011-06-27","235.468506","242.621979","235.269791","239.840073","239.840073",6934100
"2011-06-28","240.446136","246.501740","240.446136","245.230011","245.230011",5465500
"2011-06-29","246.665680","248.508698","244.599121","247.177353","247.177353",4716300
"2011-06-30","249.373062","251.697952","249.129654","251.553879","251.553879",4888300
"2011-07-01","251.732727","258.906067","251.553879","258.831543","258.831543",7320500
"2011-07-05","260.952759","265.970123","260.952759","264.499695","264.499695",7748300
"2011-07-06","265.026245","267.515076","264.797760","265.950256","265.950256",5426200
"2011-07-07","268.752014","273.560760","266.208557","271.533936","271.533936",7922100
"2011-07-08","264.753052","267.087860","261.931396","264.276154","264.276154",9602400
"2011-07-11","262.383453","266.258240","261.052094","261.936371","261.936371",5715400
"2011-07-12","262.373505","267.967133","261.300507","265.279602","265.279602",5719300
"2011-07-13","266.764954","270.242340","266.506622","267.390869","267.390869",5616600
"2011-07-14","267.818115","269.248810","261.663147","262.760986","262.760986",13385300
"2011-07-15","296.819489","298.185577","292.179657","296.879089","296.879089",27642700
"2011-07-18","294.330658","299.079773","294.087250","295.547760","295.547760",8994600
"2011-07-19","296.143860","300.386292","295.840851","299.328156","299.328156",5973600
"2011-07-20","299.144348","299.467255","295.751434","295.751434","295.751434",4484500
"2011-07-21","295.095673","302.065369","295.085754","301.533813","301.533813",6984000
"2011-07-22","300.738983","307.748383","300.182587","307.117493","307.117493",7102100
"2011-07-25","304.698242","310.684296","304.519409","307.490082","307.490082",6303900
"2011-07-26","307.028076","311.722534","306.615753","309.248627","309.248627",4716100
"2011-07-27","306.595886","308.468719","300.421051","301.648071","301.648071",7919900
